0,1243626458,283305,113217
0,1235749021,283305,51006
0,1242845442,283305,43968
0,1241804889,283305,41736
1,1241458532,283305,38422
0,1240590989,283305,25886
0,1237478484,283305,25795
0,1241112301,283305,21551
0,1240249649,283305,20954
1,1239989802,283305,19178
1,1239384566,283305,16437
1,1239816424,283305,16060
0,1237918780,283305,15241
0,1242845423,283305,15087
0,1239036008,283305,3826
1,1242413753,283305,1319
1,1242160577,283305,769
0,1234416389,273825,9447
1,1246397735,245118,37008
0,1230389538,233604,113217
1,1246367435,224331,39982
1,1246475468,214233,43236
0,1244474795,214233,14027
1,1245340857,214233,3519
1,1130361412,206102,31340
1,1220232285,204767,213776
0,1216023892,204767,113217
0,1217238054,204767,58960
1,1216011110,204767,28498
1,1220232301,204767,4593
1,1216727074,204767,3845
1,1220232299,204767,3094
0,1174403336,200149,38435
1,1241725350,195224,57299
1,1236980851,195224,34231
0,1233466426,189826,113217
1,1129934427,178227,2140
1,1175321201,176333,123294
1,1200640708,176333,102312
1,1195559397,176333,96039
1,1195560272,176333,86391
1,1200640634,176333,72140
1,1195559852,176333,66099
1,1200640520,176333,60022
1,1205317038,176333,45682
1,1195560004,176333,34827
1,1195560501,176333,34806
1,1200640708,176333,31075
1,1195558506,176333,29219
1,1195560265,176333,13778
1,1195558527,176333,12616
1,1205317074,176333,11954
1,1163216676,176333,10648
1,1205316995,176333,7746
1,1195558973,176333,3883
1,1195559407,176333,2420
1,1200640672,176333,2259
1,1200640664,176333,1938
1,1195560352,176333,1426
1,1226346895,169266,34546
1,1232159813,169266,9703
1,1242672153,169266,8193
1,1234485458,169266,4805
1,1235592415,169266,4753
1,1167068192,154049,24569
1,1244412355,151843,13589
1,1223425655,134812,21280
1,1218782088,134812,15487
1,1221683907,134812,11411
0,1235101334,132434,113217
0,1235767319,132434,43362
0,1235113445,132434,7684
0,1236447867,132434,6259
1,1235585874,132434,2437
0,1244872777,132406,56420
0,1244872639,132406,15683
0,1211316842,131921,114229
0,1211316830,131921,43362
0,1213881285,131921,36219
1,1243973263,131921,26179
0,1211316815,131921,18716
1,1211316840,131921,16294
0,1211377402,131921,8849
0,1221933898,130120,51783
0,1219994717,130120,17493
0,1221977447,130120,16455
0,1217051126,130120,2636
1,1221789289,130120,2475
0,1229729205,129278,114229
0,1229729951,129278,30708
1,1229730006,129278,26295
0,1231225470,129278,16811
0,1231209775,129278,14635
0,1231225474,129278,12518
0,1231209791,129278,12061
0,1231209736,129278,11945
1,1229728732,129278,10632
0,1229729993,129278,8849
0,1229730023,129278,7684
0,1231209766,129278,7528
1,1157065842,129177,37729
0,1181344114,125636,161423
1,1210913325,125636,7029
1,1173750364,123294,176333
1,1195078233,123294,86391
1,1200117006,123294,70780
0,1191634791,123294,38177
0,1191633805,123294,33944
1,1175028061,123294,22189
1,1200116962,123294,13782
0,1191633794,123294,11697
0,1173297488,123294,11152
0,1192656149,123294,10928
1,1200116957,123294,2259
1,1195078160,123294,1426
0,1191634714,123294,1329
1,1173750197,123294,821
1,1169587839,123294,522
0,1191634667,123294,195
0,1153574223,121440,54205
0,1201706724,117193,250331
0,1220771238,117193,176333
0,1220771237,117193,114608
0,1220771134,117193,113217
1,1201703652,117193,110112
0,1220773426,117193,58960
0,1199547525,117193,43362
0,1220771224,117193,37729
0,1220774295,117193,36704
0,1201706157,117193,25382
0,1220773508,117193,24628
0,1220774416,117193,11152
0,1220773506,117193,10928
0,1220774595,117193,10693
0,1201703689,117193,10648
0,1220773510,117193,10505
1,1201703659,117193,2259
1,1201954798,117121,6251
0,1204572458,114229,113217
1,1210627610,114229,45682
1,1198784175,114229,43362
1,1238792930,114229,34231
1,1198358645,114229,30207
1,1217253741,114229,22842
1,1197491678,114229,20692
1,1201998444,114229,18716
1,1210885561,114229,16221
1,1236799570,114229,724
1,1210128743,113365,10656
0,1209727156,113237,176333
0,1207257728,113237,114229
0,1210264234,113237,98028
1,1208123987,113237,87505
0,1205499472,113237,51753
0,1209727208,113237,45682
0,1210007072,113237,43362
0,1207312823,113237,37876
