,1,2,3,4
0,0,1230047012,336224,215086
1,1,1194104160,336224,151094
2,0,1199180573,336224,59378
3,0,1196465462,336224,8547
4,0,1195676634,336217,112748
5,1,1142434579,336217,93236
6,0,0,336217,76426
7,0,1215020125,336217,69281
8,1,1140408785,336216,318189
9,1,1151038048,336216,310693
10,1,1128632091,336216,289544
11,1,1124652824,336216,279379
12,1,1126679519,336216,231580
13,0,1153412919,336216,228973
14,1,1199156824,336216,195282
15,1,1161929431,336216,188532
16,1,1146721724,336216,138540
17,1,1203691113,336216,94395
18,1,1127888806,336216,88283
19,1,1207428219,336216,85449
20,1,1203691164,336216,83356
21,0,1195613977,336216,80505
22,1,1200425119,336216,71599
23,1,1151977186,336216,67960
24,1,1128488468,336216,63361
25,1,1192815051,336216,35569
26,1,1172765073,336216,27608
27,1,1209447167,336215,221629
28,0,1207551827,336215,167208
29,1,1135142437,336214,304998
30,1,1170219775,336214,280355
31,0,1146380280,336214,257604
32,1,1157342079,336214,213392
33,1,1145514540,336214,188499
34,1,1135130840,336214,150312
35,1,1152118370,336214,103017
36,1,1170219800,336214,59475
37,0,1156727989,336214,57026
38,1,1141785357,336214,7609
39,1,1126152211,336201,253822
40,1,1205461239,336200,336191
41,1,1202837780,336200,336169
42,1,1201143840,336200,335438
43,1,1199907894,336200,335381
44,1,1192729986,336200,335272
45,1,1205913966,336200,334821
46,1,1195150183,336200,334292
47,1,1191921643,336200,334153
48,1,1208398312,336200,333914
49,1,1204675757,336200,333520
50,1,1205592075,336200,333434
51,1,1203804305,336200,333413
52,0,1198632867,336200,333248
53,1,1205461250,336200,332738
54,1,1198512633,336200,332678
55,1,1204310054,336200,332211
56,1,1205837009,336200,331861
57,0,1192332631,336200,330595
58,1,1192153263,336200,330401
59,0,1199907975,336200,330208
60,1,1206745719,336200,328770
61,0,1191900567,336200,328387
62,0,1206774763,336200,327579
63,1,1205837021,336200,327385
64,1,1204844689,336200,327267
65,1,1193283275,336200,327205
66,0,1204473987,336200,326891
67,0,1192157754,336200,324953
68,1,1205723130,336200,324819
69,1,1193194572,336200,324438
70,1,1204377053,336200,324212
71,1,1205359429,336200,322928
72,1,1203804304,336200,322918
73,0,1191900517,336200,322863
74,1,1193194571,336200,322741
75,1,1201363612,336200,322734
76,1,1195150213,336200,322070
77,1,1201143851,336200,322025
78,0,1198966732,336200,321735
79,1,1206570165,336200,321583
80,0,1204502370,336200,320994
81,0,1195336024,336200,320958
82,0,1192493959,336200,320922
83,1,1199907890,336200,319788
84,1,1206419066,336200,319719
85,0,1207288587,336200,319399
86,1,1192386332,336200,317856
87,1,1192901477,336200,317281
88,1,1201363616,336200,316913
89,1,1198975855,336200,315577
90,0,1206503301,336200,315341
91,1,1198512640,336200,315266
92,1,1206917682,336200,315194
93,1,1207288593,336200,314945
94,1,1203705612,336200,314829
95,1,1198966739,336200,314660
96,1,1192367874,336200,314037
97,1,1202837794,336200,313926
98,0,1198512597,336200,313707
99,1,1208619402,336200,313120
