Node,Kcores,Participated,Avg_Cascade_Size
336224,9,1,0.0
266641,54,6,0.0
215086,167,94,1173.5
151094,39,97,0.0
59378,17,0,0.0
8547,9,3,0.0
336217,7,0,0.0
112748,146,0,0.0
93236,2,0,0.0
76426,1,5,0.0
69281,1,0,0.0
336216,8,50,0.0
318189,4,0,0.0
310693,2,0,0.0
289544,4,0,0.0
279379,8,19,1946.0
231580,4,0,0.0
228973,19,0,0.0
195282,10,0,0.0
188532,2,0,0.0
138540,3,0,0.0
94395,4,11,0.0
88283,6,2,0.0
85449,2,0,0.0
83356,4,0,0.0
80505,115,0,0.0
71599,4,2,0.0
67960,2,0,0.0
63361,5,0,0.0
35569,2,66,0.0
27608,4,0,0.0
336215,2,14,0.0
221629,142,0,0.0
167208,1,0,0.0
336214,5,9,0.0
304998,4,0,0.0
280355,2,0,0.0
257604,103,0,0.0
213392,2,0,0.0
188499,2,4,0.0
150312,4,0,0.0
103017,2,0,0.0
59475,8,17,0.0
57026,1,0,0.0
7609,4,0,0.0
336201,2,4,0.0
253822,6,10,0.0
336200,138,8,0.0
336191,142,16,0.0
336169,18,0,0.0
335438,39,0,0.0
335381,82,0,0.0
335272,31,0,0.0
334821,41,0,0.0
334292,20,0,0.0
334153,69,0,0.0
333914,156,0,0.0
333520,67,1,0.0
333434,68,0,0.0
333413,11,0,0.0
333248,6,0,0.0
332738,78,0,0.0
332678,49,0,0.0
332211,115,1,0.0
331861,20,0,0.0
330595,84,0,0.0
330401,71,0,0.0
330208,167,560,1127.5
328770,76,0,0.0
328387,152,11,0.0
327579,66,0,0.0
327385,21,0,0.0
327267,81,4,0.0
327205,162,19,0.0
326891,167,319,0.0
324953,138,0,0.0
324819,32,0,0.0
324438,80,0,0.0
324212,102,0,0.0
322928,127,40,0.0
322918,4,0,0.0
322863,7,3,0.0
322741,75,0,0.0
322734,71,0,0.0
322070,78,0,0.0
322025,2,0,0.0
321735,167,431,789.5
321583,6,0,0.0
320994,59,23,0.0
320958,139,3,0.0
320922,64,0,0.0
319788,88,0,0.0
319719,48,0,0.0
319399,167,750,0.0
317856,74,0,0.0
317281,72,0,0.0
316913,127,0,0.0
315577,34,0,0.0
315341,43,0,0.0
315266,58,0,0.0
315194,19,0,0.0
314945,22,0,0.0
314829,55,0,0.0
314660,14,0,0.0
314037,131,10,0.0
313926,151,64,0.0
313707,66,0,0.0
313120,85,0,0.0
312715,21,0,0.0
312500,24,0,0.0
311757,12,0,0.0
310909,94,1,0.0
310799,164,59,0.0
310550,146,3,0.0
310449,47,0,0.0
309986,28,4,0.0
309715,167,187,280.25
309707,66,0,0.0
309599,29,0,0.0
309290,130,4,0.0
308793,60,0,0.0
308626,62,0,0.0
308012,49,0,0.0
307845,4,0,0.0
306916,112,9,0.0
306676,138,0,0.0
306639,81,0,0.0
306508,51,0,0.0
306365,38,0,0.0
306169,16,0,0.0
305992,82,0,0.0
304742,49,0,0.0
304479,26,0,0.0
304320,142,1,0.0
304238,97,0,0.0
304206,29,0,0.0
302877,30,0,0.0
302616,74,0,0.0
302342,122,0,0.0
302109,39,0,0.0
301139,72,0,0.0
300568,122,14,0.0
300405,69,0,0.0
300292,37,0,0.0
299488,53,0,0.0
299481,161,0,0.0
299351,99,676,0.0
298760,128,33,0.0
298741,78,1,0.0
298286,122,54,0.0
298192,44,0,0.0
298019,159,1,0.0
297939,147,0,0.0
297753,152,2,0.0
297749,38,0,0.0
297402,42,0,0.0
297196,164,0,0.0
296942,54,36,0.0
296485,100,0,0.0
296092,69,0,0.0
296086,55,0,0.0
295673,8,0,0.0
295226,75,3,0.0
295214,35,0,0.0
295168,142,1,0.0
294465,165,0,0.0
294358,142,0,0.0
292729,81,0,0.0
292631,138,0,0.0
292554,97,38,0.0
292258,167,210,616.0769230769231
292175,3,3,0.0
292114,142,0,0.0
291918,137,0,0.0
291336,17,0,0.0
291287,146,0,0.0
290022,50,0,0.0
289156,18,0,0.0
287610,38,0,0.0
287453,24,0,0.0
287433,167,278,579.25
286947,13,11,0.0
286863,62,0,0.0
286278,75,0,0.0
286171,114,1,0.0
286170,71,0,0.0
285910,29,0,0.0
285515,40,0,0.0
285376,22,0,0.0
284697,92,0,0.0
284233,152,34,0.0
284070,127,5,0.0
283093,98,1,0.0
282248,102,0,0.0
281939,33,0,0.0
281818,82,19,0.0
281485,29,0,0.0
281419,6,0,0.0
280254,103,0,0.0
280075,68,0,0.0
279954,43,0,0.0
279306,40,0,0.0
279060,75,0,0.0
278972,21,0,0.0
278783,130,0,0.0
278382,60,0,0.0
278211,33,0,0.0
277286,82,0,0.0
276158,16,0,0.0
275477,101,0,0.0
275183,14,0,0.0
275122,8,0,0.0
274833,72,0,0.0
