Node,Kcores,Participated,Avg_Cascade_Size
336224,8,1,0.0
215086,112,39,0.0
151094,9,35,0.0
59378,11,0,0.0
8547,8,0,0.0
336217,5,0,0.0
112748,98,0,0.0
93236,2,0,0.0
76426,1,3,0.0
69281,1,0,0.0
336216,7,34,0.0
318189,4,0,0.0
310693,2,0,0.0
289544,4,0,0.0
279379,7,9,0.0
231580,4,0,0.0
228973,12,0,0.0
195282,7,0,0.0
188532,2,0,0.0
138540,3,0,0.0
94395,4,8,0.0
88283,3,0,0.0
85449,2,0,0.0
83356,2,0,0.0
80505,74,0,0.0
71599,4,1,0.0
67960,2,0,0.0
63361,5,0,0.0
35569,2,20,0.0
27608,4,0,0.0
336215,2,8,0.0
221629,91,0,0.0
167208,1,0,0.0
336214,4,5,0.0
304998,4,0,0.0
280355,2,0,0.0
257604,64,0,0.0
213392,2,0,0.0
188499,2,3,0.0
150312,2,0,0.0
103017,2,0,0.0
59475,4,14,0.0
57026,1,0,0.0
7609,3,0,0.0
336201,2,1,0.0
253822,6,0,0.0
336200,98,3,0.0
336191,103,14,0.0
336169,9,0,0.0
335438,22,0,0.0
335381,43,0,0.0
335272,20,0,0.0
334821,16,0,0.0
334292,12,0,0.0
334153,35,0,0.0
333914,112,4,0.0
333520,50,0,0.0
333434,42,0,0.0
333413,4,0,0.0
333248,1,0,0.0
332738,47,0,0.0
332678,30,0,0.0
332211,79,0,0.0
331861,10,0,0.0
330595,56,0,0.0
330401,45,0,0.0
330208,112,236,1770.75
328770,40,0,0.0
328387,103,4,0.0
327579,37,0,0.0
327385,10,0,0.0
327267,60,4,0.0
327205,112,23,0.0
326891,112,179,0.0
324953,89,0,0.0
324819,16,0,0.0
324438,50,0,0.0
324212,73,0,0.0
322928,87,8,0.0
322918,2,0,0.0
322863,4,4,0.0
322741,43,0,0.0
322734,39,0,0.0
322070,46,0,0.0
322025,2,0,0.0
321735,112,254,687.75
321583,4,0,0.0
320994,32,15,0.0
320958,102,2,0.0
320922,36,0,0.0
319788,47,0,0.0
319719,18,0,0.0
319399,112,252,0.0
317856,49,0,0.0
317281,40,0,0.0
316913,91,0,0.0
315577,14,0,0.0
315341,21,0,0.0
315266,26,0,0.0
315194,8,0,0.0
314945,9,0,0.0
314829,39,0,0.0
314660,10,0,0.0
314037,87,7,0.0
313926,104,43,0.0
313707,38,0,0.0
313120,52,0,0.0
312715,12,0,0.0
312500,16,0,0.0
311757,7,0,0.0
310909,71,0,0.0
310799,112,51,0.0
310550,103,4,0.0
310449,22,0,0.0
309986,19,1,0.0
309715,112,169,289.0
309707,42,0,0.0
309599,23,0,0.0
309290,91,0,0.0
308793,32,0,0.0
308626,29,0,0.0
308012,31,0,0.0
307845,4,0,0.0
306916,74,8,0.0
306676,87,0,0.0
306639,49,0,0.0
306508,31,0,0.0
306365,22,0,0.0
306169,10,0,0.0
305992,45,0,0.0
304742,25,0,0.0
304479,12,0,0.0
304320,103,1,0.0
304238,55,0,0.0
304206,15,0,0.0
302877,19,0,0.0
302616,44,0,0.0
302342,74,0,0.0
302109,29,0,0.0
301139,36,0,0.0
300568,81,4,0.0
300405,42,0,0.0
300292,18,0,0.0
