Node,Kcores,Participated,Avg_Cascade_Size
336224,2,0,0.0
215086,3,0,0.0
151094,2,0,0.0
59378,2,0,0.0
8547,1,0,0.0
336217,2,0,0.0
112748,7,0,0.0
93236,2,0,0.0
76426,1,0,0.0
69281,1,0,0.0
336216,2,0,0.0
318189,2,0,0.0
310693,2,0,0.0
289544,2,0,0.0
279379,2,0,0.0
231580,2,0,0.0
228973,2,0,0.0
195282,2,0,0.0
188532,2,0,0.0
138540,2,0,0.0
94395,2,0,0.0
88283,2,0,0.0
85449,2,0,0.0
83356,2,0,0.0
80505,6,0,0.0
71599,2,0,0.0
67960,2,0,0.0
63361,2,0,0.0
35569,2,0,0.0
27608,2,0,0.0
336215,2,0,0.0
221629,2,0,0.0
167208,1,0,0.0
336214,2,0,0.0
304998,2,0,0.0
280355,2,0,0.0
257604,5,0,0.0
213392,2,0,0.0
188499,2,0,0.0
150312,2,0,0.0
103017,2,0,0.0
59475,2,0,0.0
57026,1,0,0.0
7609,2,0,0.0
336201,2,0,0.0
253822,2,0,0.0
336200,11,0,0.0
336191,11,0,0.0
336169,2,0,0.0
335438,2,0,0.0
335381,2,0,0.0
335272,2,0,0.0
334821,2,0,0.0
334292,2,0,0.0
334153,2,0,0.0
333914,5,0,0.0
333520,2,0,0.0
333434,2,0,0.0
333413,2,0,0.0
333248,1,0,0.0
332738,4,0,0.0
332678,2,0,0.0
332211,2,0,0.0
331861,2,0,0.0
330595,3,0,0.0
330401,3,0,0.0
330208,9,0,0.0
328770,4,0,0.0
328387,4,0,0.0
327579,2,0,0.0
327385,2,0,0.0
327267,2,0,0.0
327205,4,0,0.0
326891,9,0,0.0
324953,3,0,0.0
324819,2,0,0.0
324438,2,0,0.0
324212,2,0,0.0
322928,4,0,0.0
322918,2,0,0.0
322863,1,0,0.0
322741,2,0,0.0
322734,6,0,0.0
322070,2,0,0.0
322025,2,0,0.0
321735,11,0,0.0
321583,2,0,0.0
320994,3,0,0.0
320958,1,0,0.0
320922,2,0,0.0
319788,2,0,0.0
319719,4,0,0.0
319399,7,0,0.0
317856,2,0,0.0
317281,2,0,0.0
316913,2,0,0.0
315577,2,0,0.0
315341,4,0,0.0
315266,2,0,0.0
315194,2,0,0.0
314945,4,0,0.0
314829,2,0,0.0
314660,2,0,0.0
314037,2,0,0.0
313926,4,0,0.0
313707,1,0,0.0
313120,4,0,0.0
312715,2,0,0.0
312500,2,0,0.0
311757,1,0,0.0
310909,2,0,0.0
310799,7,0,0.0
310550,2,0,0.0
310449,4,0,0.0
309986,2,0,0.0
309715,9,0,0.0
309707,1,0,0.0
309599,2,0,0.0
309290,2,0,0.0
308793,4,0,0.0
308626,2,0,0.0
308012,2,0,0.0
307845,4,0,0.0
306916,2,0,0.0
306676,3,0,0.0
306639,4,0,0.0
306508,2,0,0.0
306365,2,0,0.0
306169,1,0,0.0
305992,4,0,0.0
304742,2,0,0.0
304479,2,0,0.0
304320,2,0,0.0
304238,2,0,0.0
304206,4,0,0.0
302877,3,0,0.0
302616,6,0,0.0
302342,4,0,0.0
302109,2,0,0.0
301139,2,0,0.0
300568,4,0,0.0
300405,2,0,0.0
300292,2,0,0.0
299488,2,0,0.0
299481,5,0,0.0
299351,2,0,0.0
298760,2,0,0.0
298741,3,0,0.0
298286,2,0,0.0
298192,2,0,0.0
298019,4,0,0.0
297939,2,0,0.0
297753,5,0,0.0
297749,2,0,0.0
297402,4,0,0.0
297196,1,0,0.0
296942,3,0,0.0
296485,6,0,0.0
296092,2,0,0.0
296086,4,0,0.0
295673,2,0,0.0
295226,3,0,0.0
295214,4,0,0.0
295168,4,0,0.0
294465,2,0,0.0
294358,4,0,0.0
292729,2,0,0.0
292631,4,0,0.0
292554,3,0,0.0
292258,11,0,0.0
292175,1,0,0.0
292114,2,0,0.0
291918,5,0,0.0
291336,2,0,0.0
291287,4,0,0.0
290022,4,0,0.0
289156,2,0,0.0
287610,1,0,0.0
287453,2,0,0.0
287433,10,0,0.0
286947,2,0,0.0
286863,2,0,0.0
286278,4,0,0.0
286171,2,0,0.0
286170,2,0,0.0
285910,2,0,0.0
285515,2,0,0.0
285376,2,0,0.0
284697,5,0,0.0
284233,4,0,0.0
284070,2,0,0.0
283093,3,0,0.0
282248,5,0,0.0
281939,2,0,0.0
281818,3,0,0.0
281485,1,0,0.0
281419,2,0,0.0
280254,1,0,0.0
280075,4,0,0.0
279954,2,0,0.0
279306,2,0,0.0
279060,2,0,0.0
278972,2,0,0.0
278783,3,0,0.0
278382,2,0,0.0
278211,2,0,0.0
277286,4,0,0.0
276158,2,0,0.0
275477,3,0,0.0
275183,2,0,0.0
275122,2,0,0.0
274833,2,0,0.0
274581,1,0,0.0
274363,2,0,0.0
273947,1,0,0.0
273942,5,0,0.0
273531,2,0,0.0
273360,2,0,0.0
273301,1,0,0.0
273263,1,0,0.0
272877,2,0,0.0
272553,4,0,0.0
272118,2,0,0.0
271719,2,0,0.0
270640,2,0,0.0
270322,4,0,0.0
269747,1,0,0.0
269549,10,0,0.0
268440,2,0,0.0
268179,2,0,0.0
267787,4,0,0.0
266835,2,0,0.0
266369,3,0,0.0
266355,8,0,0.0
266262,2,0,0.0
266106,1,0,0.0
265677,2,0,0.0
265301,2,0,0.0
265221,2,0,0.0
264401,2,0,0.0
264345,2,0,0.0
263398,6,0,0.0
263139,2,0,0.0
262665,4,0,0.0
260716,5,0,0.0
260705,2,0,0.0
259781,3,0,0.0
259483,2,0,0.0
259247,3,0,0.0
258008,2,0,0.0
257994,3,0,0.0
257873,2,0,0.0
257805,2,0,0.0
257765,2,0,0.0
257696,11,0,357.0
257520,2,0,0.0
257193,5,0,0.0
257001,5,0,0.0
256970,2,0,0.0
256513,6,0,0.0
256025,2,0,0.0
255985,4,0,0.0
255034,1,0,0.0
254929,1,0,0.0
254601,3,0,0.0
254512,4,0,0.0
253926,2,0,0.0
253593,3,0,0.0
253331,2,0,0.0
253206,2,0,0.0
252628,6,0,0.0
252474,2,0,0.0
251530,2,0,0.0
251296,2,0,0.0
251269,1,0,0.0
250989,1,0,0.0
250751,4,0,0.0
250727,2,0,0.0
250715,2,0,0.0
250087,2,0,0.0
249518,4,0,0.0
249371,3,0,0.0
249366,2,0,0.0
249232,2,0,0.0
249052,4,0,0.0
248897,2,0,0.0
248655,2,0,0.0
247871,4,0,0.0
246569,4,0,0.0
246250,4,0,0.0
246045,4,0,0.0
245937,2,0,0.0
245603,4,0,0.0
245576,2,0,0.0
245126,4,0,0.0
244462,3,0,0.0
244109,3,0,0.0
243626,2,0,0.0
243358,4,0,0.0
243127,2,0,0.0
242300,9,0,0.0
