Node,Kcores,Participated,Avg_Cascade_Size
336224,6,0,0.0
215086,68,7,0.0
151094,6,23,0.0
59378,9,0,0.0
8547,5,0,0.0
336217,3,1,0.0
112748,54,0,0.0
93236,2,0,0.0
76426,1,0,0.0
69281,1,0,0.0
336216,4,12,0.0
318189,2,0,0.0
310693,2,0,0.0
289544,2,0,0.0
279379,2,3,0.0
231580,2,0,0.0
228973,7,0,0.0
195282,4,0,0.0
188532,2,0,0.0
138540,2,0,0.0
94395,2,3,0.0
88283,2,0,0.0
85449,2,0,0.0
83356,2,0,0.0
80505,34,0,0.0
71599,4,0,0.0
67960,2,0,0.0
63361,2,0,0.0
35569,2,6,0.0
27608,2,0,0.0
336215,2,4,0.0
221629,49,0,0.0
167208,1,0,0.0
336214,2,1,0.0
304998,2,0,0.0
280355,2,0,0.0
257604,34,0,0.0
213392,2,0,0.0
188499,2,4,0.0
150312,2,0,0.0
103017,2,0,0.0
59475,2,4,0.0
57026,1,0,0.0
7609,2,0,0.0
336201,2,1,0.0
253822,2,0,0.0
336200,60,0,0.0
336191,63,0,0.0
336169,4,0,0.0
335438,12,0,0.0
335381,20,0,0.0
335272,6,0,0.0
334821,14,0,0.0
334292,6,0,0.0
334153,18,0,0.0
333914,68,4,0.0
333520,34,0,0.0
333434,22,0,0.0
333413,4,0,0.0
333248,1,0,0.0
332738,22,0,0.0
332678,17,0,0.0
332211,47,0,0.0
331861,6,0,0.0
330595,17,0,0.0
330401,17,0,0.0
330208,68,55,0.0
328770,18,0,0.0
328387,63,3,0.0
327579,16,0,0.0
327385,2,0,0.0
327267,43,0,0.0
327205,68,14,0.0
326891,68,107,0.0
324953,45,0,0.0
324819,8,0,0.0
324438,25,0,0.0
324212,47,1,0.0
322928,51,2,0.0
322918,2,0,0.0
322863,2,1,0.0
322741,11,0,0.0
322734,24,0,0.0
322070,18,0,0.0
322025,2,0,0.0
321735,68,140,762.0
321583,4,0,0.0
320994,19,9,0.0
320958,63,0,0.0
320922,22,0,0.0
319788,17,0,0.0
319719,11,0,0.0
319399,68,149,0.0
317856,30,0,0.0
317281,16,0,0.0
316913,55,0,0.0
315577,2,0,0.0
315341,8,0,0.0
315266,8,0,0.0
315194,2,0,0.0
314945,4,0,0.0
314829,21,0,0.0
314660,5,0,0.0
314037,53,0,0.0
313926,64,22,0.0
313707,13,0,0.0
