Node,Kcores,Participated,Avg_Cascade_Size
336224,9,0,0.0
266641,72,0,0.0
215086,211,0,770.6
151094,41,0,0.0
59378,23,0,0.0
8547,14,0,0.0
336217,8,0,0.0
112748,199,0,0.0
93236,2,0,0.0
76426,1,0,0.0
69281,1,0,0.0
336216,10,0,0.0
318189,6,0,0.0
310693,4,0,0.0
289544,6,0,0.0
279379,10,0,1946.0
231580,5,0,0.0
228973,26,0,0.0
195282,14,0,0.0
188532,2,0,0.0
138540,3,0,0.0
94395,5,0,0.0
88283,14,0,0.0
85449,4,0,0.0
83356,6,0,0.0
80505,163,0,0.0
71599,4,0,0.0
67960,2,0,0.0
63361,5,0,0.0
35569,6,0,0.0
27608,4,0,0.0
336215,2,0,0.0
221629,199,0,0.0
167208,1,0,0.0
336214,7,0,0.0
304998,4,0,0.0
280355,3,0,0.0
257604,153,0,0.0
213392,2,0,0.0
188499,2,0,0.0
150312,4,0,0.0
103017,2,0,0.0
59475,28,0,0.0
57026,1,0,0.0
7609,4,0,0.0
336201,2,0,0.0
253822,7,0,0.0
336200,186,0,0.0
336191,186,0,0.0
336169,26,0,0.0
335438,62,0,0.0
335381,122,0,0.0
335272,36,0,0.0
334821,81,0,0.0
334292,26,0,0.0
334153,94,0,0.0
333914,201,0,0.0
333520,83,0,0.0
333434,103,0,0.0
333413,23,0,0.0
333248,12,0,0.0
332738,127,0,0.0
332678,78,0,0.0
332211,158,0,0.0
331861,32,0,0.0
330595,122,0,0.0
330401,100,0,0.0
330208,211,0,1102.4705882352941
328770,123,0,0.0
328387,199,0,0.0
327579,100,0,0.0
327385,41,0,0.0
327267,102,0,0.0
327205,207,0,0.0
326891,211,0,0.0
324953,194,0,0.0
324819,74,0,0.0
324438,112,0,0.0
324212,138,0,0.0
322928,165,0,0.0
322918,10,0,0.0
322863,9,0,0.0
322741,105,0,0.0
322734,100,0,0.0
322070,108,0,0.0
322025,2,0,0.0
321735,211,0,798.3
321583,8,0,0.0
320994,97,0,0.0
320958,184,0,0.0
320922,114,0,0.0
319788,131,0,0.0
319719,86,0,0.0
319399,211,0,481.0
317856,108,0,0.0
317281,100,0,0.0
316913,165,0,0.0
315577,57,0,0.0
315341,67,0,0.0
315266,82,0,0.0
315194,26,0,0.0
314945,31,0,0.0
314829,74,0,0.0
314660,20,0,0.0
314037,185,0,0.0
313926,196,0,0.0
313707,89,0,0.0
313120,136,0,0.0
312715,27,0,0.0
312500,36,0,0.0
311757,19,0,0.0
310909,122,0,0.0
310799,211,0,0.0
310550,192,0,0.0
310449,84,0,0.0
309986,44,0,0.0
309715,211,0,283.3333333333333
309707,96,0,0.0
309599,42,0,0.0
309290,177,0,0.0
308793,104,0,0.0
308626,96,0,0.0
308012,82,0,0.0
307845,9,0,0.0
306916,145,0,0.0
306676,190,0,0.0
306639,131,0,0.0
306508,69,0,0.0
306365,54,0,0.0
306169,24,0,0.0
305992,117,0,0.0
304742,85,0,0.0
304479,50,0,0.0
304320,183,0,0.0
304238,153,0,0.0
