Node,Kcores,Participated,Avg_Cascade_Size
336224,7,0,0.0
215086,85,11,0.0
151094,7,24,0.0
59378,9,0,0.0
8547,7,0,0.0
336217,4,1,0.0
112748,70,0,0.0
93236,2,0,0.0
76426,1,0,0.0
69281,1,0,0.0
336216,5,17,0.0
318189,2,0,0.0
310693,2,0,0.0
289544,2,0,0.0
279379,2,4,0.0
231580,2,0,0.0
228973,10,0,0.0
195282,5,0,0.0
188532,2,0,0.0
138540,2,0,0.0
94395,2,4,0.0
88283,3,0,0.0
85449,2,0,0.0
83356,2,0,0.0
80505,51,0,0.0
71599,4,0,0.0
67960,2,0,0.0
63361,2,0,0.0
35569,2,5,0.0
27608,2,0,0.0
336215,2,4,0.0
221629,67,0,0.0
167208,1,0,0.0
336214,4,2,0.0
304998,3,0,0.0
280355,2,0,0.0
257604,46,0,0.0
213392,2,0,0.0
188499,2,3,0.0
150312,2,0,0.0
103017,2,0,0.0
59475,4,10,0.0
57026,1,0,0.0
7609,2,0,0.0
336201,2,1,0.0
253822,2,0,0.0
336200,80,0,0.0
336191,81,14,0.0
336169,4,0,0.0
335438,20,0,0.0
335381,27,0,0.0
335272,12,0,0.0
334821,16,0,0.0
334292,10,0,0.0
334153,24,0,0.0
333914,85,4,0.0
333520,40,0,0.0
333434,26,0,0.0
333413,4,0,0.0
333248,1,0,0.0
332738,32,0,0.0
332678,22,0,0.0
332211,60,0,0.0
331861,8,0,0.0
330595,29,0,0.0
330401,26,0,0.0
330208,85,109,0.0
328770,29,0,0.0
328387,81,4,0.0
327579,28,0,0.0
327385,6,0,0.0
327267,52,3,0.0
327205,85,15,0.0
326891,86,132,0.0
324953,64,0,0.0
324819,10,0,0.0
324438,36,0,0.0
324212,61,0,0.0
322928,65,0,0.0
322918,2,0,0.0
322863,2,1,0.0
322741,22,0,0.0
322734,29,0,0.0
322070,32,0,0.0
322025,2,0,0.0
321735,86,168,762.0
321583,4,0,0.0
320994,25,10,0.0
320958,81,0,0.0
320922,27,0,0.0
319788,29,0,0.0
319719,15,0,0.0
319399,86,173,0.0
317856,38,0,0.0
317281,24,0,0.0
316913,68,0,0.0
315577,10,0,0.0
315341,12,0,0.0
315266,15,0,0.0
315194,6,0,0.0
314945,6,0,0.0
314829,26,0,0.0
314660,7,0,0.0
314037,68,2,0.0
313926,81,30,0.0
313707,24,0,0.0
313120,28,0,0.0
312715,8,0,0.0
312500,10,0,0.0
311757,6,0,0.0
310909,58,0,0.0
310799,85,33,0.0
310550,81,4,0.0
310449,16,0,0.0
309986,18,0,0.0
309715,86,136,295.5
309707,24,0,0.0
309599,15,0,0.0
309290,74,0,0.0
308793,24,0,0.0
308626,25,0,0.0
308012,16,0,0.0
307845,4,0,0.0
306916,53,1,0.0
306676,65,0,0.0
306639,35,0,0.0
306508,18,0,0.0
306365,16,0,0.0
306169,5,0,0.0
305992,28,0,0.0
304742,21,0,0.0
304479,12,0,0.0
304320,81,0,0.0
304238,35,0,0.0
304206,12,0,0.0
302877,14,0,0.0
302616,30,0,0.0
302342,49,0,0.0
302109,18,0,0.0
301139,21,0,0.0
300568,59,2,0.0
300405,28,0,0.0
300292,18,0,0.0
299488,18,0,0.0
299481,85,1,0.0
299351,47,200,0.0
298760,64,5,0.0
298741,38,0,0.0
298286,71,31,0.0
298192,16,0,0.0
298019,85,1,0.0
297939,65,0,0.0
297753,82,1,0.0
297749,14,0,0.0
297402,12,0,0.0
297196,86,0,0.0
296942,32,8,0.0
296485,49,0,0.0
296092,27,0,0.0
296086,12,0,0.0
295673,5,0,0.0
295226,37,0,0.0
295214,8,0,0.0
295168,81,0,0.0
294465,86,0,0.0
294358,81,0,0.0
292729,24,0,0.0
292631,58,0,0.0
292554,54,11,0.0
292258,86,70,848.8
292175,2,1,0.0
292114,81,0,0.0
291918,64,0,0.0
291336,7,0,0.0
291287,81,0,0.0
290022,19,0,0.0
289156,6,0,0.0
287610,16,0,0.0
287453,14,0,0.0
287433,86,87,520.0
286947,8,5,0.0
286863,17,0,0.0
286278,31,0,0.0
286171,63,0,0.0
286170,25,0,0.0
285910,6,0,0.0
285515,10,0,0.0
285376,9,0,0.0
284697,42,0,0.0
284233,82,8,0.0
284070,65,0,0.0
283093,53,0,0.0
282248,46,0,0.0
281939,6,0,0.0
281818,37,3,0.0
